"year","measure_id","measure_name","measure_parent","measure_index","description","direction","format_type","display_precision","measure_type","weight_numerator","weight_denominator","compare_states","last_updated","years_used"
2010,1,"Premature death",1,1,"Years of potential life lost before age 75 per 100,000 population (age-adjusted).",1,0,0,0,1,2,1,"2023-10-11 15:31:10","2004-2006"
2010,2,"Poor or fair health",2,1,"Percentage of adults reporting fair or poor health (age-adjusted).",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2002-2008"
2010,3,"Uninsured adults",3,1,"Percentage of adults under age 65 without health insurance.",1,1,0,0,1,20,1,"2023-10-11 15:31:10","2005"
2010,4,"Primary care provider rate",3,2,"Primary care provider rate per 100,000 population.",-1,0,0,0,1,20,1,"2023-10-11 15:31:10","2006"
2010,5,"Preventable hospital stays",4,1,"Rate of hospital stays for ambulatory-care sensitive conditions per 1,000 Medicare enrollees.",1,0,0,0,1,20,1,"2023-10-11 15:31:10","2005-2006"
2010,6,"No recent dental visit",3,3,"Percentage of the population (age 2+) that did not have a dental visit in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2001-2007"
2010,7,"Diabetes monitoring",4,2,"Percentage of diabetic Medicare enrollees ages 65-75 that receive HbA1c monitoring.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10","2003-2006"
2010,9,"Adult smoking",5,1,"Percentage of adults who are current smokers.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2002-2008"
2010,10,"Smoking during pregnancy",5,2,"Percentage of births where mother reports smoking during pregnancy.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2004-2007"
2010,11,"Adult obesity",6,1,"Percentage of the adult population (age 20 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2.",1,1,0,0,1,10,2,"2023-10-11 15:31:10","2007"
2010,12,"Binge drinking",7,1,"Percent of adults that report binge drinking in the past 30 days.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2002-2008"
2010,14,"Teen births",8,2,"Number of births per 1,000 female population ages 15-19.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2000-2006"
2010,15,"Homicides",9,2,"Number of deaths due to homicide per 100,000 population.",1,0,0,0,1,20,0,"2023-10-11 15:31:10","2000-2006"
2010,18,"Motor vehicle crash occupancy rate",16,1,"Motor vehicle crash occupancy rate per 1,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2005-2007"
2010,19,"On-road motor vehicle crash-related ER visits",16,2,"On-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2005-2007"
2010,20,"Off-road motor vehicle crash-related ER visits",16,3,"Off-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2005-2007"
2010,21,"High school graduation",10,1,"Percentage of ninth-grade cohort that graduates in four years.",-1,1,0,0,1,20,2,"2023-10-11 15:31:10","2005-2006"
2010,22,"College degrees",10,2,"Percentage of the population age 25 and over with a 4-year college degree or higher.",-1,1,0,0,1,20,1,"2023-10-11 15:31:10",""
2010,23,"Unemployment",11,1,"Percentage of population ages 16 and older unemployed but seeking work.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2008"
2010,24,"Children in poverty",17,1,"Percentage of people under age 18 in poverty.",1,1,0,0,3,40,1,"2023-10-11 15:31:10","2007"
2010,28,"Single-parent households",12,2,"Percentage of children that live in household headed by single parent.",1,1,0,0,1,40,1,"2023-10-11 15:31:10",""
2010,29,"Air pollution-ozone days",13,2,"Annual number of unhealthy air quality days due to ozone.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2005"
2010,30,"Access to healthy foods",15,1,"Healthy food outlets include grocery stores and produce stands/farmers' markets.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10","2006"
2010,33,"Municipal water (WI)",14,1,"Percentage of the population on a municipal water system.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10","2009"
2010,34,"Lead poisoned children (WI)",15,3,"Prevalence of elevated blood lead levels among children under age 6.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2008"
2010,36,"Poor physical health days",2,2,"Average number of physically unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2002-2008"
2010,37,"Low birthweight",2,4,"Percentage of live births with low birthweight (< 2,500 grams).",1,1,1,0,1,5,1,"2023-10-11 15:31:10","2000-2006"
2010,38,"Hospice use",4,3,"Percent of chronically ill Medicare enrollees in hospice care in last 6 months of life.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10",""
2010,39,"Motor vehicle crash deaths",7,2,"Number of motor vehicle crash deaths per 100,000 population.",1,0,0,0,1,40,0,"2023-10-11 15:31:10","2000-2006"
2010,40,"Inadequate social support",12,1,"Percentage of adults without adequate social/emotional support.",1,1,0,0,1,40,1,"2023-10-11 15:31:10","2005-2008"
2010,41,"Liquor store density",15,2,"Number of liquor stores per 100,000 population.",1,0,1,0,1,40,1,"2023-10-11 15:31:10",""
2010,42,"Poor mental health days",2,3,"Average number of mentally unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2002-2008"
2010,43,"Violent crime",9,1,"Number of reported violent crime offenses per 100,000 population.",1,0,0,0,1,20,0,"2023-10-11 15:31:10","2005-2007"
2010,44,"Income inequality",17,2,"Ratio of household income at the 80th percentile to income at the 20th percentile.",1,0,0,0,1,40,1,"2023-10-11 15:31:10",""
2010,45,"Chlamydia rate",8,1,"Number of newly diagnosed chlamydia cases per 100,000 population.",1,0,0,0,1,40,2,"2023-10-11 15:31:10","2007"
2010,46,"Air pollution-particulate matter days",13,1,"Annual number of unhealthy air quality days due to fine particulate matter.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2005"
2010,47,"Did not get needed health care",3,4,"Percentage of population that did not receive needed health care in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2001-2007"
2010,48,"Contaminants in municipal water (WI)",14,2,"Percent of municipal water users exposed to maximum contaminant limit (MCL) violation.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2006-2008"
2011,1,"Premature death",1,1,"Years of potential life lost before age 75 per 100,000 population (age-adjusted).",1,0,0,0,1,2,1,"2023-10-11 15:31:10","2005-2007"
2011,2,"Poor or fair health",2,1,"Percentage of adults reporting fair or poor health (age-adjusted).",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2003-2009"
2011,3,"Uninsured adults",3,1,"Percentage of adults under age 65 without health insurance.",1,1,0,0,1,20,1,"2023-10-11 15:31:10","2007"
2011,4,"Primary care physicians",3,2,"Ratio of population to primary care physicians.",-1,3,0,0,1,20,1,"2023-10-11 15:31:10","2008"
2011,5,"Preventable hospital stays",4,1,"Rate of hospital stays for ambulatory-care sensitive conditions per 1,000 Medicare enrollees.",1,0,0,0,1,20,1,"2023-10-11 15:31:10","2006-2007"
2011,6,"No recent dental visit",3,4,"Percentage of the population (age 2+) that did not have a dental visit in the past year.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2002-2008"
2011,7,"Diabetes monitoring",4,2,"Percentage of diabetic Medicare enrollees ages 65-75 that receive HbA1c monitoring.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10","2006-2007"
2011,9,"Adult smoking",5,1,"Percentage of adults who are current smokers.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2003-2009"
2011,10,"Smoking during pregnancy",5,2,"Percentage of births where mother reports smoking during pregnancy.",1,1,0,1,0,1,0,"2023-10-11 15:31:10","2005-2008"
2011,11,"Adult obesity",6,1,"Percentage of the adult population (age 20 and older) that reports a body mass index (BMI) greater than or equal to 30 kg/m2.",1,1,0,0,1,10,2,"2023-10-11 15:31:10","2008"
2011,12,"Binge drinking",7,3,"Percent of adults that report binge drinking in the past 30 days.",1,1,0,2,0,1,1,"2023-10-11 15:31:10","2003-2009"
2011,14,"Teen births",8,2,"Number of births per 1,000 female population ages 15-19.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2001-2007"
2011,15,"Homicides",9,2,"Number of deaths due to homicide per 100,000 population.",1,0,0,0,1,20,0,"2023-10-11 15:31:10","2001-2007"
2011,18,"Motor vehicle crash occupancy rate",16,1,"Motor vehicle crash occupancy rate per 1,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2006-2008"
2011,19,"On-road motor vehicle crash-related ER visits",16,2,"On-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2006-2008"
2011,20,"Off-road motor vehicle crash-related ER visits",16,3,"Off-road motor vehicle crash-related emergency room visits per 100,000 population.",1,0,0,1,0,1,0,"2023-10-11 15:31:10","2006-2008"
2011,21,"High school graduation",10,1,"Percentage of ninth-grade cohort that graduates in four years.",-1,1,0,0,1,20,2,"2023-10-11 15:31:10","2006-2007"
2011,23,"Unemployment",11,1,"Percentage of population ages 16 and older unemployed but seeking work.",1,1,1,0,1,10,1,"2023-10-11 15:31:10","2009"
2011,24,"Children in poverty",17,1,"Percentage of people under age 18 in poverty.",1,1,0,0,1,10,1,"2023-10-11 15:31:10","2008"
2011,29,"Air pollution-ozone days",13,2,"Annual number of unhealthy air quality days due to ozone.",1,0,0,0,1,40,1,"2023-10-11 15:31:10","2006"
2011,30,"Access to healthy foods",15,1,"Healthy food outlets include grocery stores and produce stands/farmers' markets.",-1,1,0,0,1,40,1,"2023-10-11 15:31:10","2008"
2011,33,"Municipal water (WI)",29,2,"Percentage of the population on a municipal water system.",-1,1,0,1,0,1,1,"2023-10-11 15:31:10","2010"
2011,34,"Lead poisoned children (WI)",15,4,"Prevalence of elevated blood lead levels among children under age 6.",1,1,0,1,0,1,1,"2023-10-11 15:31:10","2009"
2011,36,"Poor physical health days",2,2,"Average number of physically unhealthy days reported in past 30 days (age-adjusted).",1,0,1,0,1,10,1,"2023-10-11 15:31:10","2003-2009"
